(TimeSpec {sec = 357513, nsec = 798034674},Note 0 69 76)
(TimeSpec {sec = 357544, nsec = 592049432},Note 0 73 74)
(TimeSpec {sec = 357544, nsec = 904522273},Note 0 73 0)
(TimeSpec {sec = 357544, nsec = 906097634},Note 0 78 0)
(TimeSpec {sec = 357544, nsec = 964314799},Note 0 81 0)
(TimeSpec {sec = 357545, nsec = 479760219},Note 0 81 29)
(TimeSpec {sec = 357545, nsec = 490233467},Note 0 78 83)
(TimeSpec {sec = 357545, nsec = 491355381},Note 0 74 78)
(TimeSpec {sec = 357545, nsec = 961100065},Note 0 78 0)
(TimeSpec {sec = 357545, nsec = 967140845},Note 0 74 0)
(TimeSpec {sec = 357545, nsec = 974824338},Note 0 81 0)
(TimeSpec {sec = 357546, nsec = 185908049},Note 0 78 99)
(TimeSpec {sec = 357546, nsec = 558749009},Note 0 74 84)
(TimeSpec {sec = 357546, nsec = 655297447},Note 0 78 0)
(TimeSpec {sec = 357547, nsec = 47554545},Note 0 74 0)
(TimeSpec {sec = 357547, nsec = 723732502},Note 0 74 76)
(TimeSpec {sec = 357548, nsec = 44229057},Note 0 76 74)
(TimeSpec {sec = 357548, nsec = 104033142},Note 0 74 0)
(TimeSpec {sec = 357548, nsec = 638156514},Note 0 76 0)
(TimeSpec {sec = 357549, nsec = 962886624},Note 0 78 71)
(TimeSpec {sec = 357549, nsec = 971387714},Note 0 68 72)
(TimeSpec {sec = 357549, nsec = 978052752},Note 0 71 42)
(TimeSpec {sec = 357550, nsec = 436372750},Note 0 78 0)
(TimeSpec {sec = 357550, nsec = 446815789},Note 0 71 0)
(TimeSpec {sec = 357550, nsec = 450552946},Note 0 68 0)
(TimeSpec {sec = 357550, nsec = 686056812},Note 0 78 70)
(TimeSpec {sec = 357550, nsec = 703850286},Note 0 68 74)
(TimeSpec {sec = 357550, nsec = 711573913},Note 0 71 50)
(TimeSpec {sec = 357550, nsec = 935927877},Note 0 68 0)
(TimeSpec {sec = 357550, nsec = 935945066},Note 0 71 0)
(TimeSpec {sec = 357550, nsec = 944341290},Note 0 78 0)
(TimeSpec {sec = 357551, nsec = 61586449},Note 0 78 84)
(TimeSpec {sec = 357551, nsec = 69441326},Note 0 68 80)
(TimeSpec {sec = 357551, nsec = 71249799},Note 0 71 62)
(TimeSpec {sec = 357551, nsec = 421429854},Note 0 68 0)
(TimeSpec {sec = 357551, nsec = 422775406},Note 0 71 0)
(TimeSpec {sec = 357551, nsec = 432089213},Note 0 78 0)
(TimeSpec {sec = 357551, nsec = 923333746},Note 0 78 73)
(TimeSpec {sec = 357551, nsec = 933500278},Note 0 68 82)
(TimeSpec {sec = 357551, nsec = 935564673},Note 0 71 66)
(TimeSpec {sec = 357552, nsec = 249059933},Note 0 68 0)
(TimeSpec {sec = 357552, nsec = 256349850},Note 0 71 0)
(TimeSpec {sec = 357552, nsec = 297000309},Note 0 78 0)
(TimeSpec {sec = 357552, nsec = 781310812},Note 0 78 82)
(TimeSpec {sec = 357552, nsec = 786743045},Note 0 71 59)
(TimeSpec {sec = 357552, nsec = 797044900},Note 0 74 78)
(TimeSpec {sec = 357553, nsec = 250840199},Note 0 74 0)
(TimeSpec {sec = 357553, nsec = 266590773},Note 0 78 0)
(TimeSpec {sec = 357553, nsec = 316498874},Note 0 71 0)
(TimeSpec {sec = 357553, nsec = 584554858},Note 0 83 60)
(TimeSpec {sec = 357554, nsec = 204785040},Note 0 83 0)
(TimeSpec {sec = 357554, nsec = 538324165},Note 0 76 65)
(TimeSpec {sec = 357554, nsec = 915185969},Note 0 78 84)
(TimeSpec {sec = 357554, nsec = 977758181},Note 0 76 0)
(TimeSpec {sec = 357555, nsec = 308598588},Note 0 76 78)
(TimeSpec {sec = 357555, nsec = 370050243},Note 0 78 0)
(TimeSpec {sec = 357555, nsec = 635459445},Note 0 74 63)
(TimeSpec {sec = 357555, nsec = 702397449},Note 0 76 0)
(TimeSpec {sec = 357556, nsec = 213131100},Note 0 74 0)
(TimeSpec {sec = 357557, nsec = 808335284},Note 0 76 63)
(TimeSpec {sec = 357557, nsec = 814381544},Note 0 71 5)
(TimeSpec {sec = 357557, nsec = 827663450},Note 0 67 72)
(TimeSpec {sec = 357560, nsec = 21484368},Note 0 67 0)
(TimeSpec {sec = 357560, nsec = 23787099},Note 0 71 0)
(TimeSpec {sec = 357560, nsec = 28124704},Note 0 76 0)
